nohup: ignoring input
{   'io': {   'datadir': '/home/supreme/datasets-nas/line_detection/wireframe1_datarota_3w',
              'dataname': 'shanghaiTech',
              'logdir': 'logs/',
              'model_initialize_file': None,
              'num_workers': 4,
              'resume_from': None,
              'tensorboard_port': 0,
              'validation_interval': 60000,
              'visual_num': 2},
    'model': {   'ang_type': 'radian',
                 'backbone': 'stacked_hourglass',
                 'batch_size': 18,
                 'crop': True,
                 'crop_factor': 1.6,
                 'delta': 0.8,
                 'depth': 3,
                 'eval_batch_size': 2,
                 'head': {   'angle': {   'head_size': 1,
                                          'loss': 'sigmoid_L1',
                                          'loss_weight': 1.0},
                             'lcmap': {   'focal_alpha': 5.0,
                                          'head_size': 2,
                                          'loss': 'Focal_loss',
                                          'loss_weight': 1.0},
                             'lcoff': {   'head_size': 2,
                                          'loss': 'sigmoid_L1',
                                          'loss_weight': 0.25},
                             'lleng': {   'head_size': 1,
                                          'loss': 'sigmoid_L1',
                                          'loss_weight': 3.0},
                             'order': <BoxList: ['lcmap', 'lcoff', 'lleng', 'angle']>},
                 'head_net': <BoxList: ['raw', 'raw', 'raw', 'raw']>,
                 'image': {   'mean': <BoxList: [109.73, 103.832, 98.681]>,
                              'stddev': <BoxList: [22.275, 22.124, 23.229]>},
                 'inplanes': 64,
                 'lformat': 'la',
                 'nlines': 1000,
                 'num_blocks': 1,
                 'num_stacks': 1,
                 'resolution': 128,
                 's_nms': 0,
                 'stage1': 'fclip'},
    'optim': {   'amsgrad': True,
                 'lr': 0.0004,
                 'lr_decay_epoch': <BoxList: [240, 280]>,
                 'lr_scheduler': 'multi_step',
                 'max_epoch': 100,
                 'name': 'Adam',
                 'weight_decay': 0.0001}}
Let's use 1 GPU(s)!
dataset: shanghaiTech
ntrain: 30000
dataset: shanghaiTech
nvalid: 462
0-th head, head type raw, head output 2
1-th head, head type raw, head output 2
2-th head, head type raw, head output 1
3-th head, head type raw, head output 1
Finished constructing model!
outdir: logs/220401-161058-HG1_D3
/usr/local/lib/python3.7/dist-packages/skimage/io/manage_plugins.py:23: UserWarning: Your installed pillow version is < 7.1.0. Several security issues (CVE-2020-11538, CVE-2020-10379, CVE-2020-10994, CVE-2020-10177) have been fixed in pillow 7.1.0 or higher. We recommend to upgrade this library.
  from .collection import imread_collection_wrapper

progress | sum    | lcmap  | lcoff  | lleng  | angle  | Acc    | speed

000/0000k| 6.52448| 5.15835| 0.12357| 0.97415| 0.26841| 0.00000| 36.2 
000/0000k| 1.70863| 0.94163| 0.12471| 0.38992| 0.25238| 0.00000| 24.7 
000/0000k| 1.24965| 0.50390| 0.12370| 0.35205| 0.27000| 0.00000| 24.8 
000/0000k| 1.14675| 0.45437| 0.12500| 0.30697| 0.26041| 0.00000| 24.7 
000/0000k| 1.10837| 0.37886| 0.12438| 0.34176| 0.26337| 0.00000| 24.6 
000/0000k| 1.05133| 0.34048| 0.12436| 0.32738| 0.25911| 0.00000| 24.6 
000/0000k| 0.96933| 0.33020| 0.12479| 0.27029| 0.24405| 0.00000| 24.3 
000/0000k| 0.99049| 0.34614| 0.12378| 0.26732| 0.25325| 0.00000| 24.7 
000/0000k| 1.00596| 0.32497| 0.12320| 0.30203| 0.25576| 0.00000| 24.6 
000/0000k| 0.94416| 0.31393| 0.12237| 0.25788| 0.24998| 0.00000| 24.6 
000/0000k| 1.05935| 0.34840| 0.12321| 0.32416| 0.26358| 0.00000| 24.6 
000/0000k| 0.95579| 0.31420| 0.12629| 0.25555| 0.25975| 0.00000| 24.6 
000/0000k| 1.07145| 0.34473| 0.12351| 0.36344| 0.23977| 0.00000| 24.6 
000/0000k| 0.94252| 0.31674| 0.12375| 0.24245| 0.25957| 0.00000| 24.5 
000/0001k| 0.88689| 0.29158| 0.12351| 0.22828| 0.24353| 0.00000| 24.5 
000/0001k| 0.93213| 0.32178| 0.12283| 0.24684| 0.24067| 0.00000| 24.5 
000/0001k| 1.00526| 0.33609| 0.12560| 0.29797| 0.24560| 0.00000| 24.5 
000/0001k| 0.99958| 0.32579| 0.12198| 0.29392| 0.25789| 0.00000| 24.5 
000/0001k| 0.95790| 0.30178| 0.12356| 0.29245| 0.24011| 0.00000| 24.5 
000/0001k| 0.91206| 0.29804| 0.12443| 0.24696| 0.24263| 0.00000| 24.5 
000/0001k| 0.96944| 0.32943| 0.12592| 0.26930| 0.24479| 0.00000| 24.5 
000/0001k| 0.99824| 0.32226| 0.12667| 0.28929| 0.26002| 0.00000| 24.4 
000/0001k| 1.00867| 0.33124| 0.12494| 0.30357| 0.24891| 0.00000| 24.4 
000/0001k| 0.98966| 0.32763| 0.12298| 0.28317| 0.25588| 0.00000| 24.5 
000/0001k| 0.89880| 0.29359| 0.12210| 0.23349| 0.24962| 0.00000| 24.4 
000/0001k| 0.96145| 0.30337| 0.12461| 0.27270| 0.26078| 0.00000| 24.4 
000/0001k| 0.99449| 0.31732| 0.12670| 0.30047| 0.25001| 0.00000| 24.4 
000/0001k| 0.95334| 0.30963| 0.12587| 0.27172| 0.24612| 0.00000| 24.1 
000/0002k| 0.90619| 0.29235| 0.12348| 0.23639| 0.25397| 0.00000| 24.2 
000/0002k| 0.90039| 0.29587| 0.12255| 0.23760| 0.24438| 0.00000| 24.0 
000/0002k| 0.96721| 0.30274| 0.12667| 0.27687| 0.26093| 0.00000| 24.3 
000/0002k| 0.93158| 0.30003| 0.12122| 0.26471| 0.24562| 0.00000| 24.2 
000/0002k| 0.88775| 0.28403| 0.12320| 0.22640| 0.25412| 0.00000| 24.1 
000/0002k| 0.93079| 0.30558| 0.12293| 0.25633| 0.24596| 0.00000| 24.4 
000/0002k| 0.88085| 0.27935| 0.12378| 0.23317| 0.24454| 0.00000| 24.0 
000/0002k| 0.86844| 0.29091| 0.12564| 0.22634| 0.22556| 0.00000| 24.2 
000/0002k| 0.89657| 0.29428| 0.12101| 0.25205| 0.22923| 0.00000| 24.4 
