progress | sum    | lcmap  | lcoff  | lleng  | angle  | Acc    | speed

000/0011k| 0.60150| 0.22854| 0.11359| 0.12113| 0.13824| 0.00000| 24.2 
000/0011k| 0.65178| 0.27122| 0.11260| 0.15129| 0.11667| 0.00000| 24.4 
000/0011k| 0.62480| 0.23680| 0.11293| 0.13226| 0.14282| 0.00000| 23.9 
000/0011k| 0.62119| 0.25218| 0.11478| 0.13202| 0.12220| 0.00000| 24.1 
000/0011k| 0.61657| 0.23593| 0.11038| 0.12708| 0.14318| 0.00000| 23.8 
000/0011k| 0.61768| 0.24613| 0.10895| 0.14553| 0.11707| 0.00000| 24.2 
000/0011k| 0.64884| 0.24011| 0.11337| 0.14372| 0.15164| 0.00000| 23.1 
000/0011k| 0.59648| 0.23687| 0.11195| 0.13537| 0.11229| 0.00000| 24.1 
000/0011k| 0.59373| 0.22668| 0.10864| 0.12883| 0.12958| 0.00000| 24.3 
000/0011k| 0.58766| 0.23358| 0.11290| 0.11438| 0.12679| 0.00000| 08.2 
000/0011k| 0.59538| 0.23896| 0.11356| 0.12408| 0.11878| 0.00000| 06.1 
000/0011k| 0.58432| 0.23164| 0.11023| 0.12672| 0.11573| 0.00000| 24.5 
000/0011k| 0.68701| 0.25559| 0.11309| 0.17260| 0.14572| 0.00000| 24.5 
000/0011k| 0.59928| 0.22768| 0.10976| 0.12777| 0.13406| 0.00000| 24.5 
000/0012k| 0.60494| 0.24911| 0.11315| 0.13131| 0.11138| 0.00000| 24.5 
000/0012k| 0.63619| 0.24626| 0.11730| 0.12789| 0.14473| 0.00000| 24.5 
000/0012k| 0.61999| 0.23572| 0.11457| 0.12061| 0.14909| 0.00000| 24.5 
000/0012k| 0.62907| 0.24319| 0.10773| 0.15271| 0.12543| 0.00000| 24.5 
000/0012k| 0.58509| 0.22611| 0.11324| 0.11930| 0.12644| 0.00000| 24.4 
000/0012k| 0.59504| 0.23605| 0.11036| 0.11317| 0.13546| 0.00000| 24.4 
000/0012k| 0.68424| 0.24850| 0.11137| 0.17483| 0.14954| 0.00000| 24.4 
000/0012k| 0.57436| 0.21810| 0.11146| 0.11089| 0.13392| 0.00000| 24.4 
000/0012k| 0.64522| 0.22901| 0.10996| 0.16640| 0.13985| 0.00000| 24.4 
000/0012k| 0.67569| 0.24997| 0.11513| 0.16709| 0.14350| 0.00000| 10.8 
000/0012k| 0.65032| 0.27008| 0.11323| 0.14663| 0.12039| 0.00000| 21.4 
000/0012k| 0.57743| 0.24099| 0.10833| 0.12629| 0.10182| 0.00000| 24.4 
000/0012k| 0.54958| 0.21074| 0.11244| 0.12020| 0.10621| 0.00000| 24.4 
000/0012k| 0.63368| 0.23604| 0.10853| 0.13960| 0.14952| 0.00000| 24.4 
000/0013k| 0.59215| 0.23834| 0.11398| 0.12308| 0.11675| 0.00000| 24.4 
000/0013k| 0.61925| 0.24386| 0.11616| 0.12401| 0.13523| 0.00000| 24.4 
000/0013k| 0.64205| 0.24477| 0.11411| 0.15572| 0.12745| 0.00000| 24.3 
000/0013k| 0.64171| 0.23696| 0.11113| 0.17440| 0.11922| 0.00000| 24.4 
000/0013k| 0.61532| 0.23224| 0.11126| 0.13542| 0.13640| 0.00000| 24.3 
000/0013k| 0.57541| 0.22401| 0.10786| 0.13454| 0.10901| 0.00000| 24.1 
000/0013k| 0.57893| 0.21692| 0.11163| 0.12862| 0.12176| 0.00000| 24.3 
000/0013k| 0.57302| 0.23232| 0.11282| 0.13901| 0.08886| 0.00000| 18.9 
000/0013k| 0.60279| 0.21861| 0.10966| 0.13320| 0.14131| 0.00000| 11.9 
000/0013k| 0.62432| 0.24952| 0.11005| 0.13257| 0.13217| 0.00000| 24.3 
000/0013k| 0.60531| 0.22735| 0.11318| 0.11771| 0.14708| 0.00000| 24.3 
000/0013k| 0.57366| 0.22410| 0.11062| 0.12359| 0.11536| 0.00000| 24.4 
000/0013k| 0.57845| 0.22158| 0.10951| 0.11125| 0.13611| 0.00000| 24.5 
000/0013k| 0.61193| 0.24139| 0.11152| 0.13093| 0.12808| 0.00000| 24.1 
000/0014k| 0.61950| 0.23267| 0.10909| 0.12398| 0.15377| 0.00000| 24.2 
000/0014k| 0.66151| 0.28248| 0.11161| 0.14402| 0.12340| 0.00000| 24.2 
000/0014k| 0.59394| 0.23391| 0.10828| 0.12839| 0.12336| 0.00000| 23.9 
000/0014k| 0.59419| 0.23020| 0.11137| 0.11193| 0.14069| 0.00000| 24.3 
000/0014k| 0.60301| 0.23838| 0.10947| 0.12315| 0.13201| 0.00000| 24.2 
000/0014k| 0.56039| 0.21515| 0.10909| 0.11019| 0.12595| 0.00000| 23.8 
000/0014k| 0.59686| 0.22076| 0.11171| 0.12506| 0.13933| 0.00000| 24.3 
000/0014k| 0.55772| 0.20994| 0.11184| 0.10711| 0.12883| 0.00000| 13.7 
000/0014k| 0.57606| 0.23150| 0.11376| 0.10978| 0.12102| 0.00000| 24.4 
000/0014k| 0.55477| 0.23658| 0.10846| 0.11454| 0.09519| 0.00000| 24.3 
000/0014k| 0.55907| 0.22289| 0.11522| 0.10757| 0.11339| 0.00000| 24.2 
000/0014k| 0.55480| 0.22868| 0.11072| 0.11476| 0.10064| 0.00000| 24.2 
000/0014k| 0.66568| 0.24561| 0.11407| 0.14685| 0.15915| 0.00000| 22.7 
000/0014k| 0.62567| 0.24972| 0.11477| 0.12733| 0.13386| 0.00000| 24.3 
000/0015k| 0.60243| 0.23328| 0.10968| 0.13495| 0.12452| 0.00000| 24.2 
000/0015k| 0.62424| 0.23507| 0.11085| 0.14389| 0.13444| 0.00000| 24.3 
000/0015k| 0.63058| 0.22868| 0.11066| 0.16271| 0.12853| 0.00000| 24.3 
000/0015k| 0.64053| 0.23939| 0.11011| 0.16289| 0.12814| 0.00000| 24.3 
000/0015k| 0.62712| 0.22433| 0.11096| 0.15808| 0.13376| 0.00000| 23.6 
000/0015k| 0.60209| 0.21835| 0.10942| 0.12997| 0.14434| 0.00000| 12.7 
000/0015k| 0.61096| 0.22807| 0.11135| 0.13460| 0.13694| 0.00000| 16.9 
000/0015k| 0.57992| 0.22161| 0.11055| 0.11259| 0.13517| 0.00000| 24.4 
000/0015k| 0.59983| 0.22922| 0.11088| 0.11538| 0.14436| 0.00000| 24.4 
000/0015k| 0.56633| 0.23015| 0.11000| 0.11044| 0.11573| 0.00000| 24.4 
000/0015k| 0.60936| 0.23240| 0.11312| 0.13027| 0.13356| 0.00000| 24.4 
000/0015k| 0.60350| 0.21501| 0.11067| 0.13286| 0.14497| 0.00000| 24.2 
000/0015k| 0.59704| 0.21493| 0.11148| 0.13041| 0.14021| 0.00000| 24.2 
000/0015k| 0.60974| 0.24138| 0.11057| 0.13968| 0.11810| 0.00000| 24.2 
000/0016k| 0.58763| 0.22286| 0.11132| 0.10821| 0.14523| 0.00000| 24.3 
000/0016k| 0.58727| 0.21926| 0.11311| 0.12452| 0.13039| 0.00000| 24.2 
000/0016k| 0.57893| 0.21727| 0.11021| 0.10651| 0.14493| 0.00000| 24.4 
000/0016k| 0.57163| 0.21404| 0.11115| 0.10876| 0.13770| 0.00000| 24.3 
000/0016k| 0.53771| 0.21984| 0.10891| 0.10472| 0.10423| 0.00000| 06.0 
000/0016k| 0.61303| 0.24233| 0.10873| 0.12385| 0.13812| 0.00000| 24.5 
000/0016k| 0.60674| 0.23137| 0.10921| 0.13412| 0.13205| 0.00000| 24.5 
000/0016k| 0.62108| 0.23369| 0.11084| 0.13938| 0.13718| 0.00000| 24.5 
000/0016k| 0.62787| 0.22654| 0.11195| 0.11497| 0.17442| 0.00000| 24.5 
000/0016k| 0.62147| 0.22071| 0.10985| 0.15341| 0.13750| 0.00000| 24.5 
000/0016k| 0.56967| 0.23077| 0.10820| 0.11937| 0.11133| 0.00000| 24.5 
000/0016k| 0.60481| 0.24026| 0.11107| 0.11455| 0.13894| 0.00000| 24.3 
000/0016k| 0.59999| 0.22531| 0.10966| 0.13141| 0.13362| 0.00000| 24.4 
000/0016k| 0.54929| 0.20395| 0.10864| 0.11639| 0.12032| 0.00000| 24.3 
000/0017k| 0.53635| 0.19980| 0.10876| 0.09255| 0.13523| 0.00000| 24.4 
000/0017k| 0.57212| 0.22221| 0.10681| 0.11206| 0.13104| 0.00000| 24.3 
000/0017k| 0.59062| 0.23094| 0.10803| 0.11036| 0.14128| 0.00000| 10.8 
000/0017k| 0.60525| 0.23038| 0.10776| 0.13112| 0.13599| 0.00000| 14.3 
000/0017k| 0.57337| 0.21360| 0.10816| 0.11036| 0.14125| 0.00000| 24.3 
000/0017k| 0.62395| 0.23373| 0.11102| 0.14091| 0.13830| 0.00000| 24.4 
000/0017k| 0.61693| 0.23055| 0.11238| 0.14681| 0.12719| 0.00000| 24.4 
000/0017k| 0.63000| 0.24553| 0.11109| 0.13500| 0.13838| 0.00000| 24.4 
000/0017k| 0.57686| 0.21373| 0.10766| 0.12060| 0.13486| 0.00000| 24.4 
000/0017k| 0.66387| 0.27307| 0.10801| 0.12987| 0.15291| 0.00000| 24.3 
000/0017k| 0.60198| 0.23519| 0.11195| 0.12185| 0.13298| 0.00000| 24.0 
000/0017k| 0.58706| 0.24296| 0.10854| 0.12058| 0.11498| 0.00000| 24.3 
000/0017k| 0.57128| 0.22208| 0.10880| 0.10179| 0.13862| 0.00000| 24.3 
000/0018k| 0.56674| 0.20697| 0.10763| 0.10762| 0.14452| 0.00000| 23.7 
000/0018k| 0.61176| 0.25760| 0.10807| 0.12632| 0.11977| 0.00000| 24.2 
000/0018k| 0.60175| 0.23549| 0.11367| 0.11679| 0.13580| 0.00000| 24.0 
000/0018k| 0.57548| 0.23548| 0.10811| 0.12696| 0.10493| 0.00000| 15.9 
000/0018k| 0.53826| 0.21675| 0.10928| 0.11249| 0.09974| 0.00000| 24.2 
000/0018k| 0.57055| 0.22174| 0.10993| 0.10817| 0.13072| 0.00000| 24.4 
000/0018k| 0.56060| 0.22716| 0.11138| 0.10708| 0.11499| 0.00000| 24.1 
000/0018k| 0.50994| 0.20150| 0.11058| 0.08473| 0.11313| 0.00000| 23.6 
000/0018k| 0.57643| 0.21477| 0.10890| 0.10803| 0.14473| 0.00000| 24.1 
000/0018k| 0.60930| 0.24577| 0.10772| 0.12736| 0.12845| 0.00000| 24.2 
000/0018k| 0.58159| 0.22870| 0.11259| 0.11670| 0.12360| 0.00000| 23.9 
000/0018k| 0.54711| 0.22040| 0.11013| 0.09844| 0.11814| 0.00000| 24.0 
000/0018k| 0.56088| 0.22489| 0.10737| 0.10184| 0.12679| 0.00000| 23.8 
000/0018k| 0.55314| 0.21626| 0.11168| 0.10258| 0.12262| 0.00000| 23.9 
